云南移动IPTV,#genre#
昭通-1,http://39.130.206.132:6410/gitv_live/G_ZHAOTONG-1/G_ZHAOTONG-1.m3u8
昭通-2,http://39.130.206.132:6410/gitv_live/G_ZHAOTONG-2/G_ZHAOTONG-2.m3u8
昭通-3,http://39.130.206.132:6410/gitv_live/G_ZHAOTONG-3/G_ZHAOTONG-3.m3u8
CGTN,http://39.130.206.132:6410/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
湖南卫视,http://39.130.206.132:6410/gitv_live/G_HUNAN/G_HUNAN.m3u8
江苏卫视,http://39.130.206.132:6410/gitv_live/JSWS-HD/JSWS-HD.m3u8
东方卫视,http://39.130.206.132:6410/gitv_live/G_DONGFANG/G_DONGFANG.m3u8
浙江卫视,http://39.130.206.132:6410/gitv_live/G_ZHEJIANG/G_ZHEJIANG.m3u8
北京卫视,http://39.130.206.132:6410/gitv_live/G_BEIJING/G_BEIJING.m3u8
广东卫视,http://39.130.206.132:6410/gitv_live/G_GUANGDONG/G_GUANGDONG.m3u8
黑龙江卫视,http://39.130.206.132:6410/gitv_live/G_HEILONGJIANG/G_HEILONGJIANG.m3u8
深圳卫视,http://39.130.206.132:6410/gitv_live/G_SHENZHEN/G_SHENZHEN.m3u8
安徽卫视,http://39.130.206.132:6410/gitv_live/AHWS/AHWS.m3u8
辽宁卫视,http://39.130.206.132:6410/gitv_live/LNWS/LNWS.m3u8
山东卫视,http://39.130.206.132:6410/gitv_live/SDWS/SDWS.m3u8
湖北卫视,http://39.130.206.132:6410/gitv_live/G_HUBEI/G_HUBEI.m3u8
广西卫视,http://39.130.206.132:6410/gitv_live/GXWS/GXWS.m3u8
海南卫视,http://39.130.206.132:6410/gitv_live/LYWS/LYWS.m3u8
重庆卫视,http://39.130.206.132:6410/gitv_live/G_CHONGQING/G_CHONGQING.m3u8
四川卫视,http://39.130.206.132:6410/gitv_live/SCWS/SCWS.m3u8
河南卫视,http://39.130.206.132:6410/gitv_live/HENAN/HENAN.m3u8
东南卫视,http://39.130.206.132:6410/gitv_live/DNWS/DNWS.m3u8
天津卫视,http://39.130.206.132:6410/gitv_live/TJWS/TJWS.m3u8
